Feature,Feature_old,CURIE,Definition,Synonyms,A4,ADNI,AIBL,ANM,EMIF,EPAD,JADNI,NACC,ROSMAP,DOD-ADNI,PREVENT-AD,ARWIBO,I-ADNI,EDSD,OASIS,PharmaCog,VITA,WMH-AD,VASCULAR,ABVIB
Right Gyrus Cuneus Volume From Qdec,Right_gyrus_cuneus_volume_from_Qdec_rh,,,,,,,,,,(G_cuneus)GrayVol,,,,,rh_G_cuneus_volume,rh_G_cuneus_volume,rh_G_cuneus_volume,rh_G_cuneus_volume,rh_G_cuneus_volume,rh_G_cuneus_volume,rh_G_cuneus_volume,,
Right Gyrus Frontal Inf-Opercular Volume From Qdec,Right_gyrus_frontal_inf-Opercular_volume_from_Qdec_rh,,,,,,,,,,(G_front_inf-Opercular)GrayVol,,,,,rh_G_front_inf-Opercular_volume,rh_G_front_inf-Opercular_volume,rh_G_front_inf-Opercular_volume,rh_G_front_inf-Opercular_volume,rh_G_front_inf-Opercular_volume,rh_G_front_inf-Opercular_volume,rh_G_front_inf-Opercular_volume,,
Right Gyrus Frontal Inf-Orbital Volume From Qdec,Right_gyrus_frontal_inf-Orbital_volume_from_Qdec_rh,,,,,,,,,,(G_front_inf-Orbital)GrayVol,,,,,rh_G_front_inf-Orbital_volume,rh_G_front_inf-Orbital_volume,rh_G_front_inf-Orbital_volume,rh_G_front_inf-Orbital_volume,rh_G_front_inf-Orbital_volume,rh_G_front_inf-Orbital_volume,rh_G_front_inf-Orbital_volume,,
Right Gyrus Frontal Inf-Triangul Volume From Qdec,Right_gyrus_frontal_inf-Triangul_volume_from_Qdec_rh,,,,,,,,,,(G_front_inf-Triangul)GrayVol,,,,,rh_G_front_inf-Triangul_volume,rh_G_front_inf-Triangul_volume,rh_G_front_inf-Triangul_volume,rh_G_front_inf-Triangul_volume,rh_G_front_inf-Triangul_volume,rh_G_front_inf-Triangul_volume,rh_G_front_inf-Triangul_volume,,
Right Gyrus Frontal Middle Volume From Qdec,Right_gyrus_frontal_middle_volume_from_Qdec_rh,,,,,,,,,lrmfgyv,(G_front_middle)GrayVol,,,,,rh_G_front_middle_volume,rh_G_front_middle_volume,rh_G_front_middle_volume,rh_G_front_middle_volume,rh_G_front_middle_volume,rh_G_front_middle_volume,rh_G_front_middle_volume,,
Right Gyrus Frontal Sup Volume From Qdec,Right_gyrus_frontal_sup_volume_from_Qdec_rh,,,,,,,,,,(G_front_sup)GrayVol,,,,,rh_G_front_sup_volume,rh_G_front_sup_volume,rh_G_front_sup_volume,rh_G_front_sup_volume,rh_G_front_sup_volume,rh_G_front_sup_volume,rh_G_front_sup_volume,,
Right Gyrus Ins Lg And Sulcus Cent Ins Volume From Qdec,Right_gyrus_Ins_lg_and_sulcus_cent_ins_volume_from_Qdec_rh,,,,,,,,,,(G_Ins_lg_and_S_cent_ins)GrayVol,,,,,rh_G_Ins_lg_and_S_cent_ins_volume,rh_G_Ins_lg_and_S_cent_ins_volume,rh_G_Ins_lg_and_S_cent_ins_volume,rh_G_Ins_lg_and_S_cent_ins_volume,rh_G_Ins_lg_and_S_cent_ins_volume,rh_G_Ins_lg_and_S_cent_ins_volume,rh_G_Ins_lg_and_S_cent_ins_volume,,
Right Gyrus Insular Short Volume From Qdec,Right_gyrus_insular_short_volume_from_Qdec_rh,,,,,,,,,,(G_insular_short)GrayVol,,,,,rh_G_insular_short_volume,rh_G_insular_short_volume,rh_G_insular_short_volume,rh_G_insular_short_volume,rh_G_insular_short_volume,rh_G_insular_short_volume,rh_G_insular_short_volume,,
Right Gyrus Occipital Middle Volume From Qdec,Right_gyrus_occipital_middle_volume_from_Qdec_rh,,,,,,,,,lrmoccgv,(G_occipital_middle)GrayVol,,,,,rh_G_occipital_middle_volume,rh_G_occipital_middle_volume,rh_G_occipital_middle_volume,rh_G_occipital_middle_volume,rh_G_occipital_middle_volume,rh_G_occipital_middle_volume,rh_G_occipital_middle_volume,,
Right Gyrus Occipital Sup Volume From Qdec,Right_gyrus_occipital_sup_volume_from_Qdec_rh,,,,,,,,,lrsuogv,(G_occipital_sup)GrayVol,,,,,rh_G_occipital_sup_volume,rh_G_occipital_sup_volume,rh_G_occipital_sup_volume,rh_G_occipital_sup_volume,rh_G_occipital_sup_volume,rh_G_occipital_sup_volume,rh_G_occipital_sup_volume,,
