Feature,Feature_old,CURIE,Definition,Synonyms,A4,ADNI,AIBL,ANM,EMIF,EPAD,JADNI,NACC,ROSMAP,DOD-ADNI,PREVENT-AD,ARWIBO,I-ADNI,EDSD,OASIS,PharmaCog,VITA,WMH-AD,VASCULAR,ABVIB
Left Rostral Middle Frontal Area,Left rostral middle frontal area,,,,,ST55SA,,,,,lh_(rostralmiddlefrontal)SurfArea,,,ST55SA,,lh_rostralmiddlefrontal_area,lh_rostralmiddlefrontal_area,lh_rostralmiddlefrontal_area,lh_rostralmiddlefrontal_area,lh_rostralmiddlefrontal_area,lh_rostralmiddlefrontal_area,lh_rostralmiddlefrontal_area,,
Left Superiorfrontal Area,Left superiorfrontal area,,,,,ST56SA,,,,,lh_(superiorfrontal)SurfArea,,,ST56SA,,lh_superiorfrontal_area,lh_superiorfrontal_area,lh_superiorfrontal_area,lh_superiorfrontal_area,lh_superiorfrontal_area,lh_superiorfrontal_area,lh_superiorfrontal_area,,
Left Superiorparietal Area,Left superiorparietal area,,,,,ST57SA,,,,,lh_(superiorparietal)SurfArea,,,ST57SA,,lh_superiorparietal_area,lh_superiorparietal_area,lh_superiorparietal_area,lh_superiorparietal_area,lh_superiorparietal_area,lh_superiorparietal_area,lh_superiorparietal_area,,
Left Superiortemporal Area,Left superiortemporal area,,,,,ST58SA,,,,,lh_(superiortemporal)SurfArea,,,ST58SA,,lh_superiortemporal_area,lh_superiortemporal_area,lh_superiortemporal_area,lh_superiortemporal_area,lh_superiortemporal_area,lh_superiortemporal_area,lh_superiortemporal_area,,
Left Supramarginal Area,Left supramarginal area,,,,,ST59SA,,,,,lh_(supramarginal)SurfArea,,,ST59SA,,lh_supramarginal_area,lh_supramarginal_area,lh_supramarginal_area,lh_supramarginal_area,lh_supramarginal_area,lh_supramarginal_area,lh_supramarginal_area,,
Left Temporal Pole Area,Left temporal pole area,,,,,ST60SA,,,,,lh_(temporalpole)SurfArea,,,ST60SA,,lh_temporalpole_area,lh_temporalpole_area,lh_temporalpole_area,lh_temporalpole_area,lh_temporalpole_area,lh_temporalpole_area,lh_temporalpole_area,,
Left Temporal Pole Thickness,Left temporal pole thickness,,,,,ST60TA,,lh_temporalpole_thickness,,,lh_(temporalpole)ThickAvg,,,ST60TA,,lh_temporalpole_thickness,lh_temporalpole_thickness,lh_temporalpole_thickness,lh_temporalpole_thickness,lh_temporalpole_thickness,lh_temporalpole_thickness,lh_temporalpole_thickness,,
Left Transverse Temporal Area,Left transverse temporal area,,,,,ST62SA,,,,,lh_(transversetemporal)SurfArea,,,ST62SA,,lh_transversetemporal_area,lh_transversetemporal_area,lh_transversetemporal_area,lh_transversetemporal_area,lh_transversetemporal_area,lh_transversetemporal_area,lh_transversetemporal_area,,
Non-White-matter-hypointensities,Non-White-matter-hypointensities,,,,,ST68SV,,non-WM-hypointensities,,,(non-WM-hypointensities)Volume_mm3,,,ST68SV,,non-WM-hypointensities,non-WM-hypointensities,non-WM-hypointensities,non-WM-hypointensities,non-WM-hypointensities,non-WM-hypointensities,non-WM-hypointensities,,
Optic Chiasm Volume,Optic Chiasm Volume,,,,,ST69SV,,Optic-Chiasm,,,(Optic-Chiasm)Volume_mm3,,,ST69SV,,Optic-Chiasm,Optic-Chiasm,Optic-Chiasm,Optic-Chiasm,Optic-Chiasm,Optic-Chiasm,Optic-Chiasm,,
Right Banks Of The Superior Temoral Sulcus Volume,Right banks of the superior temoral sulcus volume,EFO:0010286,,,,ST72CV,,,,,rh_(bankssts)GrayVol,,,ST72CV,,rh_bankssts_volume,rh_bankssts_volume,rh_bankssts_volume,rh_bankssts_volume,rh_bankssts_volume,rh_bankssts_volume,rh_bankssts_volume,,
Right Banks Of The Superior Temoral Sulcus Thickness,Right banks of the superior temoral sulcus thickness,UBERON:0028622,,,,ST72TA,,rh_bankssts_thickness,,,rh_(bankssts)ThickAvg,,,ST72TA,,rh_bankssts_thickness,rh_bankssts_thickness,rh_bankssts_thickness,rh_bankssts_thickness,rh_bankssts_thickness,rh_bankssts_thickness,rh_bankssts_thickness,,
Right Banks Of The Superior Temoral Sulcus Area,Right banks of the superior temoral sulcus area,UBERON:0028622,,,,ST72SA,,,,,rh_(bankssts)SurfArea,,,ST72SA,,rh_bankssts_area,rh_bankssts_area,rh_bankssts_area,rh_bankssts_area,rh_bankssts_area,rh_bankssts_area,rh_bankssts_area,,
Right Caudal Anterior Cingulate Volume,Right caudal anterior cingulate volume,EFO:0010289,,,,ST73CV,,,,,rh_(caudalanteriorcingulate)GrayVol,,,ST73CV,,rh_caudalanteriorcingulate_volume,rh_caudalanteriorcingulate_volume,rh_caudalanteriorcingulate_volume,rh_caudalanteriorcingulate_volume,rh_caudalanteriorcingulate_volume,rh_caudalanteriorcingulate_volume,rh_caudalanteriorcingulate_volume,,
Right Caudal Anterior Cingulate Area,Right caudal anterior cingulate area,,,,,ST73SA,,,,,rh_(caudalanteriorcingulate)SurfArea,,,ST73SA,,rh_caudalanteriorcingulate_area,rh_caudalanteriorcingulate_area,rh_caudalanteriorcingulate_area,rh_caudalanteriorcingulate_area,rh_caudalanteriorcingulate_area,rh_caudalanteriorcingulate_area,rh_caudalanteriorcingulate_area,,
Right Caudal Middle Frontal Area,Right caudal middle frontal area,,,,,ST74SA,,,,,rh_(caudalmiddlefrontal)SurfArea,,,ST74SA,,rh_caudalmiddlefrontal_area,rh_caudalmiddlefrontal_area,rh_caudalmiddlefrontal_area,rh_caudalmiddlefrontal_area,rh_caudalmiddlefrontal_area,rh_caudalmiddlefrontal_area,rh_caudalmiddlefrontal_area,,
Right Cuneus Area,Right cuneus area,,,,,ST82SA,,,,,rh_(cuneus)SurfArea,,,ST82SA,,rh_cuneus_area,rh_cuneus_area,rh_cuneus_area,rh_cuneus_area,rh_cuneus_area,rh_cuneus_area,rh_cuneus_area,,
Right Cuneus Volume,Right cuneus volume,EFO:0010301,,,,ST82CV,,,,,rh_(cuneus)GrayVol,,,ST82CV,,rh_cuneus_volume,rh_cuneus_volume,rh_cuneus_volume,rh_cuneus_volume,rh_cuneus_volume,rh_cuneus_volume,rh_cuneus_volume,,
Right Entorightinal Area,Right entorightinal area,,,,,ST83SA,,,,,rh_(entorhinal)SurfArea,,,ST83SA,,rh_entorhinal_area,rh_entorhinal_area,rh_entorhinal_area,rh_entorhinal_area,rh_entorhinal_area,rh_entorhinal_area,rh_entorhinal_area,,
Right Frontal Pole Thickness,Right frontal pole thickness,,,,,ST84TA,,rh_frontalpole_thickness,,,rh_(frontalpole)ThickAvg,,,ST84TA,,rh_frontalpole_thickness,rh_frontalpole_thickness,rh_frontalpole_thickness,rh_frontalpole_thickness,rh_frontalpole_thickness,rh_frontalpole_thickness,rh_frontalpole_thickness,,
Right Frontalpole Area,Right frontalpole area,,,,,ST84SA,,,,,rh_(frontalpole)SurfArea,,,ST84SA,,rh_frontalpole_area,rh_frontalpole_area,rh_frontalpole_area,rh_frontalpole_area,rh_frontalpole_area,rh_frontalpole_area,rh_frontalpole_area,,
Right Fusiform Area,Right fusiform area,,,,,ST85SA,,,,,rh_(fusiform)SurfArea,,,ST85SA,,rh_fusiform_area,rh_fusiform_area,rh_fusiform_area,rh_fusiform_area,rh_fusiform_area,rh_fusiform_area,rh_fusiform_area,,
Right Inferior Parietal Area,Right inferior parietal area,,,,,ST90SA,,,,,rh_(inferiorparietal)SurfArea,,,ST90SA,,rh_inferiorparietal_area,rh_inferiorparietal_area,rh_inferiorparietal_area,rh_inferiorparietal_area,rh_inferiorparietal_area,rh_inferiorparietal_area,rh_inferiorparietal_area,,
Right Inferior Temporal Area,Right inferior temporal area,,,,,ST91SA,,,,,rh_(inferiortemporal)SurfArea,,,ST91SA,,rh_inferiortemporal_area,rh_inferiortemporal_area,rh_inferiortemporal_area,rh_inferiortemporal_area,rh_inferiortemporal_area,rh_inferiortemporal_area,rh_inferiortemporal_area,,
Left Inferior Temporal Area,Left inferior temporal area,,,,,ST32SA,,,,,lh_(inferiortemporal)SurfArea,,,ST32SA,,lh_inferiortemporal_area,lh_inferiortemporal_area,lh_inferiortemporal_area,lh_inferiortemporal_area,lh_inferiortemporal_area,lh_inferiortemporal_area,lh_inferiortemporal_area,,
Right Isthmuscingulate Volume,Right isthmuscingulate volume,EFO:0010310,,,,ST93CV,,,,,rh_(isthmuscingulate)GrayVol,,,ST93CV,,rh_isthmuscingulate_volume,rh_isthmuscingulate_volume,rh_isthmuscingulate_volume,rh_isthmuscingulate_volume,rh_isthmuscingulate_volume,rh_isthmuscingulate_volume,rh_isthmuscingulate_volume,,
Left Isthmus Cingulate Area,Left isthmus cingulate area,EFO:0010310,,,,ST34SA,,,,,lh_(isthmuscingulate)SurfArea,,,ST34SA,,lh_isthmuscingulate_area,lh_isthmuscingulate_area,lh_isthmuscingulate_area,lh_isthmuscingulate_area,lh_isthmuscingulate_area,lh_isthmuscingulate_area,lh_isthmuscingulate_area,,
Right Lateraloccipital Area,Right lateraloccipital area,,,,,ST94SA,,,,,rh_(lateraloccipital)SurfArea,,,ST94SA,,rh_lateraloccipital_area,rh_lateraloccipital_area,rh_lateraloccipital_area,rh_lateraloccipital_area,rh_lateraloccipital_area,rh_lateraloccipital_area,rh_lateraloccipital_area,,
Right Lateralorbitofrontal Area,Right lateralorbitofrontal area,,,,,ST95SA,,,,,rh_(lateralorbitofrontal)SurfArea,,,ST95SA,,rh_lateralorbitofrontal_area,rh_lateralorbitofrontal_area,rh_lateralorbitofrontal_area,rh_lateralorbitofrontal_area,rh_lateralorbitofrontal_area,rh_lateralorbitofrontal_area,rh_lateralorbitofrontal_area,,
Right Lateralorbitofrontal Volume,Right lateralorbitofrontal volume,EFO:0010312,,,,ST95CV,,,,,rh_(lateralorbitofrontal)GrayVol,,,ST95CV,,rh_lateralorbitofrontal_volume,rh_lateralorbitofrontal_volume,rh_lateralorbitofrontal_volume,rh_lateralorbitofrontal_volume,rh_lateralorbitofrontal_volume,rh_lateralorbitofrontal_volume,rh_lateralorbitofrontal_volume,,
Right Lingual Area,Right lingual area,,,,,ST97SA,,,,,rh_(lingual)SurfArea,,,ST97SA,,rh_lingual_area,rh_lingual_area,rh_lingual_area,rh_lingual_area,rh_lingual_area,rh_lingual_area,rh_lingual_area,,
Right Medialorbitofrontal Area,Right medialorbitofrontal area,,,,,ST98SA,,,,,rh_(medialorbitofrontal)SurfArea,,,ST98SA,,rh_medialorbitofrontal_area,rh_medialorbitofrontal_area,rh_medialorbitofrontal_area,rh_medialorbitofrontal_area,rh_medialorbitofrontal_area,rh_medialorbitofrontal_area,rh_medialorbitofrontal_area,,
Right Middletemporal Area,Right middletemporal area,,,,,ST99SA,,,,,rh_(middletemporal)SurfArea,,,ST99SA,,rh_middletemporal_area,rh_middletemporal_area,rh_middletemporal_area,rh_middletemporal_area,rh_middletemporal_area,rh_middletemporal_area,rh_middletemporal_area,,
Left Sulcus Calcarine Volume,Left sulcus calcarine volume,NCIT:C32252,,,,,,,,llcalcv,(S_calcarine)GrayVol,,,,,lh_S_calcarine_volume,lh_S_calcarine_volume,lh_S_calcarine_volume,lh_S_calcarine_volume,lh_S_calcarine_volume,lh_S_calcarine_volume,lh_S_calcarine_volume,,
Right Sulcus Calcarine Volume,Right sulcus calcarine volume,NCIT:C32252,,,,,,,,lrcalcv,(S_calcarine)GrayVol,,,,,rh_S_calcarine_volume,rh_S_calcarine_volume,rh_S_calcarine_volume,rh_S_calcarine_volume,rh_S_calcarine_volume,rh_S_calcarine_volume,rh_S_calcarine_volume,,
CC Posterior From Qdec Aseg,CC_Posterior_from_Qdec_aseg,EFO:0010298,,,,,,CC_Posterior,,,(CC_Posterior)Volume_mm3,,,,,CC_Posterior,CC_Posterior,CC_Posterior,CC_Posterior,CC_Posterior,CC_Posterior,CC_Posterior,,
CC Mid Posterior From Qdec Aseg,CC_Mid_Posterior_from_Qdec_aseg,,,,,,,CC_Mid_Posterior,,,(CC_Mid_Posterior)Volume_mm3,,,,,CC_Mid_Posterior,CC_Mid_Posterior,CC_Mid_Posterior,CC_Mid_Posterior,CC_Mid_Posterior,CC_Mid_Posterior,CC_Mid_Posterior,,
CC Central From Qdec Aseg,CC_Central_from_Qdec_aseg,EFO:0010296,,,,,,CC_Central,,,(CC_Central)Volume_mm3,,,,,CC_Central,CC_Central,CC_Central,CC_Central,CC_Central,CC_Central,CC_Central,,
CC Mid Anterior From Qdec Aseg,CC_Mid_Anterior_from_Qdec_aseg,,,,,,,CC_Mid_Anterior,,,(CC_Mid_Anterior)Volume_mm3,,,,,CC_Mid_Anterior,CC_Mid_Anterior,CC_Mid_Anterior,CC_Mid_Anterior,CC_Mid_Anterior,CC_Mid_Anterior,CC_Mid_Anterior,,
CC Anterior From Qdec Aseg,CC_Anterior_from_Qdec_aseg,EFO:0010295,,,,,,CC_Anterior,,,(CC_Anterior)Volume_mm3,,,,,CC_Anterior,CC_Anterior,CC_Anterior,CC_Anterior,CC_Anterior,CC_Anterior,CC_Anterior,,
BrainSegVol From Qdec Aseg,BrainSegVol_from_Qdec_aseg,,,,,,,BrainSegVol,,,,,,,,BrainSegVol,BrainSegVol,BrainSegVol,BrainSegVol,BrainSegVol,BrainSegVol,BrainSegVol,,
BrainSegVolNotVent From Qdec Aseg,BrainSegVolNotVent_from_Qdec_aseg,,,,,,,BrainSegVolNotVent,,,,,,,,BrainSegVolNotVent,BrainSegVolNotVent,BrainSegVolNotVent,BrainSegVolNotVent,BrainSegVolNotVent,BrainSegVolNotVent,BrainSegVolNotVent,,
BrainSegVolNotVentSurf From Qdec Aseg,BrainSegVolNotVentSurf_from_Qdec_aseg,,,,,,,BrainSegVolNotVentSurf,,,,,,,,BrainSegVolNotVentSurf,BrainSegVolNotVentSurf,BrainSegVolNotVentSurf,BrainSegVolNotVentSurf,BrainSegVolNotVentSurf,BrainSegVolNotVentSurf,BrainSegVolNotVentSurf,,
LeftCortexVol From Qdec Aseg,LeftCortexVol_from_Qdec_aseg,EFO:0010292,,,,,,lhCortexVol,,,lhCortexVol,,,,,lhCortexVol,lhCortexVol,lhCortexVol,lhCortexVol,lhCortexVol,lhCortexVol,lhCortexVol,,
RightCortexVol From Qdec Aseg,RightCortexVol_from_Qdec_aseg,EFO:0010292,,,,,,rhCortexVol,,,rhCortexVol,,,,,rhCortexVol,rhCortexVol,rhCortexVol,rhCortexVol,rhCortexVol,rhCortexVol,rhCortexVol,,
CortexVol From Qdec Aseg,CortexVol_from_Qdec_aseg,EFO:0010292,,,,,,CortexVol,,,CortexVol,,,,,CortexVol,CortexVol,CortexVol,CortexVol,CortexVol,CortexVol,CortexVol,,
SubCortGrayVol From Qdec Aseg,SubCortGrayVol_from_Qdec_aseg,NCIT:C165870,,,,ST153SV,,SubCortGrayVol,,,SubCortGrayVol,,,ST153SV,,SubCortGrayVol,SubCortGrayVol,SubCortGrayVol,SubCortGrayVol,SubCortGrayVol,SubCortGrayVol,SubCortGrayVol,,
TotalGrayVol From Qdec Aseg,TotalGrayVol_from_Qdec_aseg,EFO:0010292,,,,,,TotalGrayVol,,,,,,,,TotalGrayVol,TotalGrayVol,TotalGrayVol,TotalGrayVol,TotalGrayVol,TotalGrayVol,TotalGrayVol,,
SupraTentorialVol From Qdec Aseg,SupraTentorialVol_from_Qdec_aseg,NCIT:C12923,,,,,,SupraTentorialVol,,,SupraTentorialVol,,,,,SupraTentorialVol,SupraTentorialVol,SupraTentorialVol,SupraTentorialVol,SupraTentorialVol,SupraTentorialVol,SupraTentorialVol,,
SupraTentorialVolNotVent From Qdec Aseg,SupraTentorialVolNotVent_from_Qdec_aseg,,,,,,,SupraTentorialVolNotVent,,,,,,,,SupraTentorialVolNotVent,SupraTentorialVolNotVent,SupraTentorialVolNotVent,SupraTentorialVolNotVent,SupraTentorialVolNotVent,SupraTentorialVolNotVent,SupraTentorialVolNotVent,,
SupraTentorialVolNotVentVox From Qdec Aseg,SupraTentorialVolNotVentVox_from_Qdec_aseg,,,,,,,SupraTentorialVolNotVentVox,,,,,,,,SupraTentorialVolNotVentVox,SupraTentorialVolNotVentVox,SupraTentorialVolNotVentVox,SupraTentorialVolNotVentVox,SupraTentorialVolNotVentVox,SupraTentorialVolNotVentVox,SupraTentorialVolNotVentVox,,
MaskVol From Qdec Aseg,MaskVol_from_Qdec_aseg,,,,,,,MaskVol,,,,,,,,MaskVol,MaskVol,MaskVol,MaskVol,MaskVol,MaskVol,MaskVol,,
BrainSegVol-to-eTIV From Qdec Aseg,BrainSegVol-to-eTIV_from_Qdec_aseg,,,,,,,BrainSegVol-to-eTIV,,,,,,,,BrainSegVol-to-eTIV,BrainSegVol-to-eTIV,BrainSegVol-to-eTIV,BrainSegVol-to-eTIV,BrainSegVol-to-eTIV,BrainSegVol-to-eTIV,BrainSegVol-to-eTIV,,
MaskVol-to-eTIV From Qdec Aseg,MaskVol-to-eTIV_from_Qdec_aseg,,,,,,,MaskVol-to-eTIV,,,,,,,,MaskVol-to-eTIV,MaskVol-to-eTIV,MaskVol-to-eTIV,MaskVol-to-eTIV,MaskVol-to-eTIV,MaskVol-to-eTIV,MaskVol-to-eTIV,,
Left SurfaceHoles From Qdec Aseg,Left_SurfaceHoles_from_Qdec_aseg,,,,,,,lhSurfaceHoles,,,,,,,,lhSurfaceHoles,lhSurfaceHoles,lhSurfaceHoles,lhSurfaceHoles,lhSurfaceHoles,lhSurfaceHoles,lhSurfaceHoles,,
Right SurfaceHoles From Qdec Aseg,Right_SurfaceHoles_from_Qdec_aseg,,,,,,,rhSurfaceHoles,,,,,,,,rhSurfaceHoles,rhSurfaceHoles,rhSurfaceHoles,rhSurfaceHoles,rhSurfaceHoles,rhSurfaceHoles,rhSurfaceHoles,,
SurfaceHoles From Qdec Aseg,SurfaceHoles_from_Qdec_aseg,,,,,,,SurfaceHoles,,,,,,,,SurfaceHoles,SurfaceHoles,SurfaceHoles,SurfaceHoles,SurfaceHoles,SurfaceHoles,SurfaceHoles,,
Left Gyrus And Sulcus Frontomargin Area From Qdec,Left_gyrus_and_sulcus_frontomargin_area_from_Qdec_lh,,,,,,,,,,(G_and_S_frontomargin)SurfArea,,,,,lh_G_and_S_frontomargin_area,lh_G_and_S_frontomargin_area,lh_G_and_S_frontomargin_area,lh_G_and_S_frontomargin_area,lh_G_and_S_frontomargin_area,lh_G_and_S_frontomargin_area,lh_G_and_S_frontomargin_area,,
Left Gyrus And Sulcus Occipital Inferior Area From Qdec,Left_gyrus_and_sulcus_occipital_inferior_area_from_Qdec_lh,,,,,,,,,,(G_and_S_occipital_inf)SurfArea,,,,,lh_G_and_S_occipital_inf_area,lh_G_and_S_occipital_inf_area,lh_G_and_S_occipital_inf_area,lh_G_and_S_occipital_inf_area,lh_G_and_S_occipital_inf_area,lh_G_and_S_occipital_inf_area,lh_G_and_S_occipital_inf_area,,
Left Gyrus And Sulcus Subcentral Area From Qdec,Left_gyrus_and_sulcus_subcentral_area_from_Qdec_lh,,,,,,,,,,(G_and_S_subcentral)SurfArea,,,,,lh_G_and_S_subcentral_area,lh_G_and_S_subcentral_area,lh_G_and_S_subcentral_area,lh_G_and_S_subcentral_area,lh_G_and_S_subcentral_area,lh_G_and_S_subcentral_area,lh_G_and_S_subcentral_area,,
Left Gyrus And Sulcus Transv Frontopol Area From Qdec,Left_gyrus_and_sulcus_transv_frontopol_area_from_Qdec_lh,,,,,,,,,,(G_and_S_transv_frontopol)SurfArea,,,,,lh_G_and_S_transv_frontopol_area,lh_G_and_S_transv_frontopol_area,lh_G_and_S_transv_frontopol_area,lh_G_and_S_transv_frontopol_area,lh_G_and_S_transv_frontopol_area,lh_G_and_S_transv_frontopol_area,lh_G_and_S_transv_frontopol_area,,
Left Gyrus And Sulcus Cingul-Ant Area From Qdec,Left_gyrus_and_sulcus_cingul-Ant_area_from_Qdec_lh,,,,,,,,,,(G_and_S_cingul-Ant)SurfArea,,,,,lh_G_and_S_cingul-Ant_area,lh_G_and_S_cingul-Ant_area,lh_G_and_S_cingul-Ant_area,lh_G_and_S_cingul-Ant_area,lh_G_and_S_cingul-Ant_area,lh_G_and_S_cingul-Ant_area,lh_G_and_S_cingul-Ant_area,,
Left Gyrus And Sulcus Cingul-Mid-Ant Area From Qdec,Left_gyrus_and_sulcus_cingul-Mid-Ant_area_from_Qdec_lh,,,,,,,,,,(G_and_S_cingul-Mid-Ant)SurfArea,,,,,lh_G_and_S_cingul-Mid-Ant_area,lh_G_and_S_cingul-Mid-Ant_area,lh_G_and_S_cingul-Mid-Ant_area,lh_G_and_S_cingul-Mid-Ant_area,lh_G_and_S_cingul-Mid-Ant_area,lh_G_and_S_cingul-Mid-Ant_area,lh_G_and_S_cingul-Mid-Ant_area,,
Left Gyrus And Sulcus Cingul-Mid-Post Area From Qdec,Left_gyrus_and_sulcus_cingul-Mid-Post_area_from_Qdec_lh,,,,,,,,,,(G_and_S_cingul-Mid-Post)SurfArea,,,,,lh_G_and_S_cingul-Mid-Post_area,lh_G_and_S_cingul-Mid-Post_area,lh_G_and_S_cingul-Mid-Post_area,lh_G_and_S_cingul-Mid-Post_area,lh_G_and_S_cingul-Mid-Post_area,lh_G_and_S_cingul-Mid-Post_area,lh_G_and_S_cingul-Mid-Post_area,,
Left Gyrus Cingul-Post-dorsal Area From Qdec,Left_gyrus_cingul-Post-dorsal_area_from_Qdec_lh,,,,,,,,,,(G_cingul-Post-dorsal)SurfArea,,,,,lh_G_cingul-Post-dorsal_area,lh_G_cingul-Post-dorsal_area,lh_G_cingul-Post-dorsal_area,lh_G_cingul-Post-dorsal_area,lh_G_cingul-Post-dorsal_area,lh_G_cingul-Post-dorsal_area,lh_G_cingul-Post-dorsal_area,,
Left Gyrus Cingul-Post-ventral Area From Qdec,Left_gyrus_cingul-Post-ventral_area_from_Qdec_lh,,,,,,,,,,(G_cingul-Post-ventral)SurfArea,,,,,lh_G_cingul-Post-ventral_area,lh_G_cingul-Post-ventral_area,lh_G_cingul-Post-ventral_area,lh_G_cingul-Post-ventral_area,lh_G_cingul-Post-ventral_area,lh_G_cingul-Post-ventral_area,lh_G_cingul-Post-ventral_area,,
Left Gyrus Cuneus Area From Qdec,Left_gyrus_cuneus_area_from_Qdec_lh,,,,,,,,,,(G_cuneus)SurfArea,,,,,lh_G_cuneus_area,lh_G_cuneus_area,lh_G_cuneus_area,lh_G_cuneus_area,lh_G_cuneus_area,lh_G_cuneus_area,lh_G_cuneus_area,,
Left Gyrus Frontal Inf-Opercular Area From Qdec,Left_gyrus_frontal_inf-Opercular_area_from_Qdec_lh,,,,,,,,,,(G_front_inf-Opercular)SurfArea,,,,,lh_G_front_inf-Opercular_area,lh_G_front_inf-Opercular_area,lh_G_front_inf-Opercular_area,lh_G_front_inf-Opercular_area,lh_G_front_inf-Opercular_area,lh_G_front_inf-Opercular_area,lh_G_front_inf-Opercular_area,,
Left Gyrus Frontal Inf-Orbital Area From Qdec,Left_gyrus_frontal_inf-Orbital_area_from_Qdec_lh,,,,,,,,,,(G_front_inf-Orbital)SurfArea,,,,,lh_G_front_inf-Orbital_area,lh_G_front_inf-Orbital_area,lh_G_front_inf-Orbital_area,lh_G_front_inf-Orbital_area,lh_G_front_inf-Orbital_area,lh_G_front_inf-Orbital_area,lh_G_front_inf-Orbital_area,,
Left Gyrus Frontal Inf-Triangul Area From Qdec,Left_gyrus_frontal_inf-Triangul_area_from_Qdec_lh,,,,,,,,,,(G_front_inf-Triangul)SurfArea,,,,,lh_G_front_inf-Triangul_area,lh_G_front_inf-Triangul_area,lh_G_front_inf-Triangul_area,lh_G_front_inf-Triangul_area,lh_G_front_inf-Triangul_area,lh_G_front_inf-Triangul_area,lh_G_front_inf-Triangul_area,,
Left Gyrus Frontal Middle Area From Qdec,Left_gyrus_frontal_middle_area_from_Qdec_lh,,,,,,,,,,(G_front_middle)SurfArea,,,,,lh_G_front_middle_area,lh_G_front_middle_area,lh_G_front_middle_area,lh_G_front_middle_area,lh_G_front_middle_area,lh_G_front_middle_area,lh_G_front_middle_area,,
Left Gyrus Frontal Sup Area From Qdec,Left_gyrus_frontal_sup_area_from_Qdec_lh,,,,,,,,,,(G_front_sup)SurfArea,,,,,lh_G_front_sup_area,lh_G_front_sup_area,lh_G_front_sup_area,lh_G_front_sup_area,lh_G_front_sup_area,lh_G_front_sup_area,lh_G_front_sup_area,,
Left Gyrus Ins Lg And Sulcus Cent Ins Area From Qdec,Left_gyrus_Ins_lg_and_sulcus_cent_ins_area_from_Qdec_lh,,,,,,,,,,(G_Ins_lg_and_S_cent_ins)SurfArea,,,,,lh_G_Ins_lg_and_S_cent_ins_area,lh_G_Ins_lg_and_S_cent_ins_area,lh_G_Ins_lg_and_S_cent_ins_area,lh_G_Ins_lg_and_S_cent_ins_area,lh_G_Ins_lg_and_S_cent_ins_area,lh_G_Ins_lg_and_S_cent_ins_area,lh_G_Ins_lg_and_S_cent_ins_area,,
Left Gyrus Insular Short Area From Qdec,Left_gyrus_insular_short_area_from_Qdec_lh,,,,,,,,,,(G_insular_short)SurfArea,,,,,lh_G_insular_short_area,lh_G_insular_short_area,lh_G_insular_short_area,lh_G_insular_short_area,lh_G_insular_short_area,lh_G_insular_short_area,lh_G_insular_short_area,,
Left Gyrus Occipital Middle Area From Qdec,Left_gyrus_occipital_middle_area_from_Qdec_lh,,,,,,,,,,(G_occipital_middle)SurfArea,,,,,lh_G_occipital_middle_area,lh_G_occipital_middle_area,lh_G_occipital_middle_area,lh_G_occipital_middle_area,lh_G_occipital_middle_area,lh_G_occipital_middle_area,lh_G_occipital_middle_area,,
Left Gyrus Occipital Sup Area From Qdec,Left_gyrus_occipital_sup_area_from_Qdec_lh,,,,,,,,,,(G_occipital_sup)SurfArea,,,,,lh_G_occipital_sup_area,lh_G_occipital_sup_area,lh_G_occipital_sup_area,lh_G_occipital_sup_area,lh_G_occipital_sup_area,lh_G_occipital_sup_area,lh_G_occipital_sup_area,,
Left Gyrus Oc-temp Lat-fusifor Area From Qdec,Left_gyrus_oc-temp_lat-fusifor_area_from_Qdec_lh,,,,,,,,,,(G_oc-temp_lat-fusifor)SurfArea,,,,,lh_G_oc-temp_lat-fusifor_area,lh_G_oc-temp_lat-fusifor_area,lh_G_oc-temp_lat-fusifor_area,lh_G_oc-temp_lat-fusifor_area,lh_G_oc-temp_lat-fusifor_area,lh_G_oc-temp_lat-fusifor_area,lh_G_oc-temp_lat-fusifor_area,,
Left Gyrus Oc-temp Med-Lingual Area From Qdec,Left_gyrus_oc-temp_med-Lingual_area_from_Qdec_lh,UBERON:0002771,,,,,,,,,(G_oc-temp_med-Lingual)SurfArea,,,,,lh_G_oc-temp_med-Lingual_area,lh_G_oc-temp_med-Lingual_area,lh_G_oc-temp_med-Lingual_area,lh_G_oc-temp_med-Lingual_area,lh_G_oc-temp_med-Lingual_area,lh_G_oc-temp_med-Lingual_area,lh_G_oc-temp_med-Lingual_area,,
Left Gyrus Oc-temp Med-Parahip Area From Qdec,Left_gyrus_oc-temp_med-Parahip_area_from_Qdec_lh,,,,,,,,,,(G_oc-temp_med-Parahip)SurfArea,,,,,lh_G_oc-temp_med-Parahip_area,lh_G_oc-temp_med-Parahip_area,lh_G_oc-temp_med-Parahip_area,lh_G_oc-temp_med-Parahip_area,lh_G_oc-temp_med-Parahip_area,lh_G_oc-temp_med-Parahip_area,lh_G_oc-temp_med-Parahip_area,,
Left Gyrus Orbital Area From Qdec,Left_gyrus_orbital_area_from_Qdec_lh,,,,,,,,,,(G_orbital)SurfArea,,,,,lh_G_orbital_area,lh_G_orbital_area,lh_G_orbital_area,lh_G_orbital_area,lh_G_orbital_area,lh_G_orbital_area,lh_G_orbital_area,,
