Feature	A4	ABVIB	ADNI	AIBL	ANM	ARWIBO	DOD-ADNI	EDSD	EMIF	EPAD	I-ADNI	JADNI	NACC	OASIS	PREVENT-AD	PharmaCog	ROSMAP	VASCULAR	VITA	WMH-AD
Left Precentral Mean Cortical Thickness			1		1	1	1	1			1	1	1	1		1			1	1
Right Precentral Mean Cortical Thickness			1		1	1	1	1			1	1	1	1		1			1	1
Left Precuneus Mean Cortical Thickness			1		1	1	1	1			1	1	1	1		1			1	1
Right Precuneus Mean Cortical Thickness			1		1	1	1	1			1	1	1	1		1			1	1
Left Rostral Anterior Cingulate Mean Cortical Thickness			1		1	1	1	1			1	1	1	1		1			1	1
Right Rostral Anterior Cingulate Mean Cortical Thickness			1		1	1	1	1			1	1	1	1		1			1	1
Left Rostral Middle Frontal Mean Cortical Thickness			1		1	1	1	1			1	1	1	1		1			1	1
Right Rostral Middle Frontal Mean Cortical Thickness			1		1	1	1	1			1	1	1	1		1			1	1
Left Superior Frontal Mean Cortical Thickness			1		1	1	1	1			1	1	1	1		1			1	1
Right Superiorfrontal Mean Cortical Thickness			1		1	1	1	1			1	1	1	1		1			1	1
Left Superiorparietal Mean Cortical Thickness			1		1	1	1	1			1	1	1	1		1			1	1
Right Superiorparietal Mean Cortical Thickness			1		1	1	1	1			1	1	1	1		1			1	1
Left Superior Temporal Mean Cortical Thickness			1		1	1	1	1			1	1	1	1		1			1	1
Right Superior Temporal Mean Cortical Thickness			1		1	1	1	1			1	1	1	1		1			1	1
Left Supramarginal Mean Cortical Thickness			1		1	1	1	1			1	1	1	1		1			1	1
Right Supramarginal Mean Cortical Thickness			1		1	1	1	1			1	1	1	1		1			1	1
Left Transverse Temporal Mean Cortical Thickness			1		1	1	1	1			1	1	1	1		1			1	1
Right Transverse Temporal Mean Cortical Thickness			1		1	1	1	1			1	1	1	1		1			1	1
Left Precuneus Grey Matter Volume			1			1	1	1		1	1	1	1	1		1			1	1
Right Precuneus Grey Matter Volume			1			1	1	1		1	1	1	1	1		1			1	1
Left Transverse Temporal Grey Matter Volume			1			1	1	1			1	1	1	1		1			1	1
Right Transverse Temporal Grey Matter Volume			1			1	1	1			1	1	1	1		1			1	1
Right Parahippocampal Area			1			1	1	1			1	1		1		1			1	1
Right Paracentral Area			1			1	1	1			1	1		1		1			1	1
Right Parsopercularis Area			1			1	1	1			1	1		1		1			1	1
Right Parsorbitalis Area			1			1	1	1			1	1		1		1			1	1
Right Parstriangularis Area			1			1	1	1			1	1		1		1			1	1
Right Pericalcarine Area			1			1	1	1			1	1		1		1			1	1
Right Postcentral Area			1			1	1	1			1	1		1		1			1	1
Right Posterior Cingulate Area			1			1	1	1			1	1		1		1			1	1
Right Precentral Area			1			1	1	1			1	1		1		1			1	1
Right Precuneus Area			1			1	1	1			1	1		1		1			1	1
Right Rostralanteriorcingulate Area			1			1	1	1			1	1		1		1			1	1
Right Rostralmiddlefrontal Area			1			1	1	1			1	1		1		1			1	1
Right Superior Frontal Area			1			1	1	1			1	1		1		1			1	1
Right Superior Parietal Area			1			1	1	1			1	1		1		1			1	1
Right Superior Temporal Area			1			1	1	1			1	1		1		1			1	1
Right Supramarginal Area			1			1	1	1			1	1		1		1			1	1
Right Temporal Pole Area			1			1	1	1			1	1		1		1			1	1
Right Temporal Pole Thickness			1		1	1	1	1			1	1		1		1			1	1
Right Transverse Temporal Area			1			1	1	1			1	1		1		1			1	1
Right-vessel From Qdec			1		1	1	1	1			1	1		1		1		1	1	1
Right White Matter Hypointensities Volume					1	1		1			1	1		1		1			1	1
Left Insula Area			1			1	1	1			1	1		1		1			1	1
Right Insula Area			1			1	1	1			1	1		1		1			1	1
Left Banks Of The Superior Temoral Sulcus Cortical Mean Volume			1			1	1	1			1	1		1		1			1	1
Left Banks Of The Superior Temoral Sulcus Cortical Thickness			1		1	1	1	1			1	1		1		1			1	1
Left Banks Of The Superior Temoral Sulcus Cortical Area			1			1	1	1			1	1		1		1			1	1
