Feature	A4	ABVIB	ADNI	AIBL	ANM	ARWIBO	DOD-ADNI	EDSD	EMIF	EPAD	I-ADNI	JADNI	NACC	OASIS	PREVENT-AD	PharmaCog	ROSMAP	VASCULAR	VITA	WMH-AD
Right Gyrus Temp Sup-Lateral Meancurv From Qdec						1		1			1			1		1			1	1
Right Gyrus Temp Sup-Plan Polar Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Temp Sup-Plan Tempo Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Temporal Inferior Meancurv From Qdec						1		1			1			1		1			1	1
Right Gyrus Temporal Middle Meancurv From Qdec						1		1			1			1		1			1	1
Right Lat Fis-ant-Horizont Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Lat Fis-ant-Vertical Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Lat Fis-post Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Pole Occipital Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Pole Temporal Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Calcarine Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Central Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Cingul-Marginalis Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Circular Insula Anterior Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Circular Insula Inferior Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Circular Insula Sup Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Collat Transv Anterior Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Collat Transv Posterior Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Frontal Inferior Meancurv From Qdec						1		1			1			1		1			1	1
Right Sulcus Frontal Middle Meancurv From Qdec						1		1			1			1		1			1	1
Right Sulcus Frontal Sup Meancurv From Qdec						1		1			1			1		1			1	1
Right Sulcus Interm Prim-Jensen Meancurv From Qdec						1		1			1			1		1			1	1
Right Sulcus Intrapariet And P Trans Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Oc Middle And Lunatus Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Oc Sup And Transversal Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Occipital Anterior Meancurv From Qdec						1		1			1			1		1			1	1
Right Sulcus Oc-temp Lat Meancurv From Qdec						1		1			1			1		1			1	1
Right Sulcus Oc-temp Med And Lingual Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Orbital Lateral Meancurv From Qdec						1		1			1			1		1			1	1
Right Sulcus Orbital Med-olfact Meancurv From Qdec						1		1			1			1		1			1	1
Right Sulcus Orbital-H Shaped Meancurv From Qdec						1		1			1			1		1			1	1
Right Sulcus Parieto Occipital Meancurv From Qdec						1		1			1			1		1			1	1
Right Sulcus Pericallosal Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Postcentral Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Precentral-inf-part Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Precentral-sup-part Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Suborbital Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Subparietal Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Temporal Inferior Meancurv From Qdec						1		1			1			1		1			1	1
Right Sulcus Temporal Sup Meancurv From Qdec						1		1			1			1		1			1	1
Right Sulcus Temporal Transverse Meancurv From Qdec						1		1			1			1		1			1	1
Right Gyrus And Sulcus Frontomargin Thickness From Qdec						1		1			1	1		1		1			1	1
Right Gyrus And Sulcus Occipital Inferior Thickness From Qdec						1		1			1	1		1		1			1	1
Right Gyrus And Sulcus Paracentral Thickness From Qdec						1		1			1	1		1		1			1	1
Right Gyrus And Sulcus Subcentral Thickness From Qdec						1		1			1	1		1		1			1	1
Right Gyrus And Sulcus Transv Frontopol Thickness From Qdec						1		1			1	1		1		1			1	1
Right Gyrus And Sulcus Cingul-Ant Thickness From Qdec						1		1			1	1		1		1			1	1
Right Gyrus And Sulcus Cingul-Mid-Ant Thickness From Qdec						1		1			1	1		1		1			1	1
Right Gyrus And Sulcus Cingul-Mid-Post Thickness From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Cingul-Post-dorsal Thickness From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Cingul-Post-ventral Thickness From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Cuneus Thickness From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Frontal Inf-Opercular Thickness From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Frontal Inf-Orbital Thickness From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Frontal Inf-Triangul Thickness From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Frontal Middle Thickness From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Frontal Sup Thickness From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Ins Lg And Sulcus Cent Ins Thickness From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Insular Short Thickness From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Occipital Middle Thickness From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Occipital Sup Thickness From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Oc-temp Lat-fusifor Thickness From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Oc-temp Med-Lingual Thickness From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Oc-temp Med-Parahip Thickness From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Orbital Thickness From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Pariet Inf-Angular Thickness From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Pariet Inf-Supramar Thickness From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Parietal Sup Thickness From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Postcentral Thickness From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Precentral Thickness From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Rectus Thickness From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Subcallosal Thickness From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Temp Sup-G T Transv Thickness From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Temp Sup-Lateral Thickness From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Temp Sup-Plan Polar Thickness From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Temp Sup-Plan Tempo Thickness From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Temporal Inferior Thickness From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Temporal Middle Thickness From Qdec						1		1			1	1		1		1			1	1
Right Lat Fis-ant-Horizont Thickness From Qdec						1		1			1	1		1		1			1	1
Right Lat Fis-ant-Vertical Thickness From Qdec						1		1			1	1		1		1			1	1
Right Lat Fis-post Thickness From Qdec						1		1			1	1		1		1			1	1
Right Pole Occipital Thickness From Qdec						1		1			1	1		1		1			1	1
Right Pole Temporal Thickness From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Calcarine Thickness From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Central Thickness From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Cingul-Marginalis Thickness From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Circular Insula Anterior Thickness From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Circular Insula Inferior Thickness From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Circular Insula Sup Thickness From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Collat Transv Anterior Thickness From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Collat Transv Posterior Thickness From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Frontal Inferior Thickness From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Frontal Middle Thickness From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Frontal Sup Thickness From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Interm Prim-Jensen Thickness From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Intrapariet And P Trans Thickness From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Oc Middle And Lunatus Thickness From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Oc Sup And Transversal Thickness From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Occipital Anterior Thickness From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Oc-temp Lat Thickness From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Oc-temp Med And Lingual Thickness From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Orbital Lateral Thickness From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Orbital Med-olfact Thickness From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Orbital-H Shaped Thickness From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Parieto Occipital Thickness From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Pericallosal Thickness From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Postcentral Thickness From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Precentral-inf-part Thickness From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Precentral-sup-part Thickness From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Suborbital Thickness From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Subparietal Thickness From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Temporal Inferior Thickness From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Temporal Sup Thickness From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Temporal Transverse Thickness From Qdec						1		1			1	1		1		1			1	1
Right Gyrus And Sulcus Frontomargin Volume From Qdec						1		1			1	1		1		1			1	1
Right Gyrus And Sulcus Occipital Inferior Volume From Qdec						1		1		1	1	1		1		1			1	1
Right Gyrus And Sulcus Paracentral Volume From Qdec						1		1			1	1		1		1			1	1
Right Gyrus And Sulcus Subcentral Volume From Qdec						1		1			1	1		1		1			1	1
Right Gyrus And Sulcus Transv Frontopol Volume From Qdec						1		1			1	1		1		1			1	1
Right Gyrus And Sulcus Cingul-Ant Volume From Qdec						1		1			1	1		1		1			1	1
Right Gyrus And Sulcus Cingul-Mid-Ant Volume From Qdec						1		1			1	1		1		1			1	1
Right Gyrus And Sulcus Cingul-Mid-Post Volume From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Cingul-Post-dorsal Volume From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Cingul-Post-ventral Volume From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Cuneus Volume From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Frontal Inf-Opercular Volume From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Frontal Inf-Orbital Volume From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Frontal Inf-Triangul Volume From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Frontal Middle Volume From Qdec						1		1		1	1	1		1		1			1	1
Right Gyrus Frontal Sup Volume From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Ins Lg And Sulcus Cent Ins Volume From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Insular Short Volume From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Occipital Middle Volume From Qdec						1		1		1	1	1		1		1			1	1
Right Gyrus Occipital Sup Volume From Qdec						1		1		1	1	1		1		1			1	1
Right Gyrus Oc-temp Lat-fusifor Volume From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Oc-temp Med-Lingual Volume From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Oc-temp Med-Parahip Volume From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Orbital Volume From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Pariet Inf-Angular Volume From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Pariet Inf-Supramar Volume From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Parietal Sup Volume From Qdec						1		1		1	1	1		1		1			1	1
Right Gyrus Postcentral Volume From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Precentral Volume From Qdec						1		1		1	1	1		1		1			1	1
Right Gyrus Precuneus Volume From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Rectus Volume From Qdec						1		1		1	1	1		1		1			1	1
Right Gyrus Subcallosal Volume From Qdec						1		1		1	1	1		1		1			1	1
Right Gyrus Temp Sup-G T Transv Volume From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Temp Sup-Lateral Volume From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Temp Sup-Plan Polar Volume From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Temp Sup-Plan Tempo Volume From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Temporal Inferior Volume From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Temporal Middle Volume From Qdec						1		1			1	1		1		1			1	1
Right Lat Fis-ant-Horizont Volume From Qdec						1		1			1	1		1		1			1	1
Right Lat Fis-ant-Vertical Volume From Qdec						1		1			1	1		1		1			1	1
Right Lat Fis-post Volume From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Central Volume From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Cingul-Marginalis Volume From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Circular Insula Anterior Volume From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Circular Insula Inferior Volume From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Circular Insula Sup Volume From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Collat Transv Anterior Volume From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Collat Transv Posterior Volume From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Frontal Inferior Volume From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Frontal Middle Volume From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Frontal Sup Volume From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Interm Prim-Jensen Volume From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Intrapariet And P Trans Volume From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Oc Middle And Lunatus Volume From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Oc Sup And Transversal Volume From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Occipital Anterior Volume From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Oc-temp Lat Volume From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Oc-temp Med And Lingual Volume From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Orbital Lateral Volume From Qdec						1		1		1	1	1		1		1			1	1
Right Sulcus Orbital Med-olfact Volume From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Orbital-H Shaped Volume From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Parieto Occipital Volume From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Pericallosal Volume From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Postcentral Volume From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Precentral-inf-part Volume From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Precentral-sup-part Volume From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Suborbital Volume From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Subparietal Volume From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Temporal Inferior Volume From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Temporal Sup Volume From Qdec						1		1		1	1	1		1		1			1	1
Right Sulcus Temporal Transverse Volume From Qdec						1		1		1	1	1		1		1			1	1
Right Isthmuscingulate Area From Qdec						1	1	1			1	1		1		1			1	1
Right WhiteSurfArea Area From Qdec			1			1	1	1			1			1		1			1	1
Right Banks Of The Superior Temoral Sulcus Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Caudalanteriorcingulate Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Caudalmiddlefrontal Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Cuneus Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Entorightinal Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Fusiform Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Inferiorparietal Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Inferiortemporal Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Isthmuscingulate Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Lateraloccipital Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Lateralorbitofrontal Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Lingual Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Medialorbitofrontal Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Middletemporal Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Parahippocampal Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Paracentral Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Parsopercularis Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Parsorbitalis Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Parstriangularis Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Pericalcarine Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Postcentral Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Posteriorcingulate Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Precentral Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Precuneus Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Rostralanteriorcingulate Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Rostralmiddlefrontal Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Superiorfrontal Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Superiorparietal Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Superiortemporal Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Supramarginal Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Frontalpole Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Temporalpole Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Transversetemporal Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Insula Meancurv From Qdec						1		1			1	1		1		1			1	1
Right MeanThickness Thickness From Qdec					1	1		1			1			1		1			1	1
Right Caudalmiddlefrontal Volume From Qdec aparc						1		1			1	1		1		1			1	1
Right Entorightinal Volume From Qdec aparc						1		1		1	1	1		1		1			1	1
Right Fusiform Volume From Qdec aparc						1		1		1	1	1		1		1			1	1
Right Inferiorparietal Volume From Qdec aparc						1		1			1	1		1		1			1	1
Right Inferiortemporal Volume From Qdec aparc						1		1		1	1	1		1		1			1	1
Right Lingual Volume From Qdec aparc												1								
Right Paracentral Volume From Qdec aparc						1		1			1	1		1		1			1	1
Right Insula Volume From Qdec aparc						1		1			1	1		1		1			1	1
White-matter-left-banks Of The Superior Temoral Sulcus-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-left-caudalanteriorcingulate-from Qdec Wmparc						1		1			0			1		1			1	1
White-matter-left-caudalmiddlefrontal-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-left-cuneus-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-left-entorightinal-from Qdec Wmparc						1		1			0			1		1			1	1
White-matter-left-fusiform-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-left-inferiorparietal-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-left-inferiortemporal-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-left-isthmuscingulate-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-left-lateraloccipital-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-left-lateralorbitofrontal-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-left-lingual-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-left-medialorbitofrontal-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-left-middletemporal-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-left-parahippocampal-from Qdec Wmparc						1		1			0			1		1			1	1
White-matter-left-paracentral-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-left-parsopercularis-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-left-parsorbitalis-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-left-parstriangularis-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-left-pericalcarine-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-left-postcentral-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-left-posteriorcingulate-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-left-precentral-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-left-precuneus-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-left-rostralanteriorcingulate-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-left-rostralmiddlefrontal-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-left-superiorfrontal-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-left-superiorparietal-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-left-superiortemporal-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-left-supramarginal-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-left-frontalpole-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-left-temporalpole-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-left-transversetemporal-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-left-insula-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-Right-banks Of The Superior Temoral Sulcus-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-Right-caudalanteriorcingulate-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-Right-caudalmiddlefrontal-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-Right-cuneus-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-Right-entorightinal-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-Right-fusiform-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-Right-inferiorparietal-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-Right-inferiortemporal-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-Right-isthmuscingulate-from Qdec Wmparc						1		1			0			1		1			1	1
White-matter-Right-lateraloccipital-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-Right-lateralorbitofrontal-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-Right-lingual-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-Right-medialorbitofrontal-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-Right-middletemporal-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-Right-parahippocampal-from Qdec Wmparc						1		1			0			1		1			1	1
White-matter-Right-paracentral-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-Right-parsopercularis-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-Right-parsorbitalis-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-Right-parstriangularis-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-Right-pericalcarine-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-Right-postcentral-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-Right-posteriorcingulate-from Qdec Wmparc						1		1			0			1		1			1	1
White-matter-Right-precentral-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-Right-precuneus-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-Right-rostralanteriorcingulate-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-Right-rostralmiddlefrontal-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-Right-superiorfrontal-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-Right-superiorparietal-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-Right-superiortemporal-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-Right-supramarginal-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-Right-frontalpole-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-Right-temporalpole-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-Right-transversetemporal-from Qdec Wmparc						1		1			1			1		1			1	1
White-matter-Right-insula-from Qdec Wmparc						1		1			1			1		1			1	1
Left-UnsegmentedWhiteMatter-from Qdec Wmparc						1		1			1			1		1			1	1
Right-UnsegmentedWhiteMatter-from Qdec Wmparc						1		1			1			1		1			1	1
Left Hippocampal Tail Volume						0		0			0			0		1			0	0
Left Subiculum Volume						0		0			0			0		1			0	0
Left CA1 Volume						0		0			0			0		1			0	0
Left Hippocampal-fissure Volume						0		0			0			0		1			0	0
Left Presubiculum Volume						0		0			0			0		1			0	0
Left Parasubiculum Volume						0		0			0			0		1			0	0
Left Molecular Layer HP Volume						0		0			0			0		1			0	0
Left GC-ML-DG Volume						0		0			0			0		1			0	0
Left CA3 Volume						0		0			0			0		1			0	0
Left CA4 Volume						0		0			0			0		1			0	0
Left Fimbria Volume						0		0			0			0		1			0	0
Left HATA Volume						0		0			0			0		1			0	0
Left Whole Hippocampus Volume						0		0			0			0		1			0	0
Right Whole Hippocampus Volume						0		0			0			0		1			0	0
Right Hippocampal Tail Volume						0		0			0			0		1			0	0
Right Subiculum Volume						0		0			0			0		1			0	0
Right CA1 Volume						0		0			0			0		1			0	0
Right Hippocampal-fissure Volume						0		0			0			0		1			0	0
Right Presubiculum Volume						0		0			0			0		1			0	0
Right Parasubiculum Volume						0		0			0			0		1			0	0
Right Molecular Layer HP Volume						0		0			0			0		1			0	0
Right GC-ML-DG Volume						0		0			0			0		1			0	0
Right CA3 Volume						0		0			0			0		1			0	0
Right CA4 Volume						0		0			0			0		1			0	0
Right Fimbria Volume						0		0			0			0		1			0	0
Right HATA Volume						0		0			0			0		1			0	0
Right-non-white Matter Hypointensities Volume					1	1		1			1			1		1			1	1
Left-non-white Matter Hypointensities Volume					1	1		1			1			1		1			1	1
Left Cortical White Matter Volume From Qdec					1	1		1			1	1		1		1			1	1
Right Cortical White Matter Volume From Qdec					1	1		1			1	1		1		1			1	1
Left White Matter Hypointensities Volume					1	1		1			1			1		1			1	1
